ID,Name,First Air Date,Overview,Popularity,Vote Average,Vote Count,Poster_URL,Backdrop_URL
66614,La Belle Fille Masquée Poitrine,1990-01-07,"The eleventh entry in the Toei Fushigi Comedy Series.  Yuko Murikami stops by a shrine to pray for the new school year. Yuko accidentally breaks the bell and drops it on top of a turtle's head. Because she is the only person that stopped by the shrine in a long time, he grants her the power to become a superheroine, based on another ancient deity. It is her job to protect her neighborhood from the threats it faces. By yelling ""Cosmo Magic! Métamorphose!!"",  she transforms into the Masked Beauty Poitrine!",1.4122,8.0,2,https://image.tmdb.org/t/p/w500/2pxIl32GtXBHxZLwZtqbx2jYcoa.jpg,https://image.tmdb.org/t/p/w780/115UfyJT4rkXxTFzNISvN7K58Zi.jpg
3917,Special Rescue Police Winspector,1990-02-04,"In 1999, advanced science and technology enriched people's lives, but the damage caused when they were misused for crimes or went out of control and went out of control was also great. The Special Rescue Police Winspector (abbreviated as WSP) was established to deal with such a situation. Their purpose is not only to investigate crimes and arrest suspects but also to save the lives of those involved in crimes and disasters.",2.6026,8.0,13,https://image.tmdb.org/t/p/w500/itQUGtMTczHI0zuSksGBEGVWPBk.jpg,https://image.tmdb.org/t/p/w780/m6PIE3VAXm45WO5dTXOEQpYHQon.jpg
18303,Ultraman: Towards the Future,1990-09-25,"Jack Shindo and Stanley Haggard are members of the first manned expedition to Mars, and on the red planet find a giant slug-like monster, Goudes/Gudis. Shindo is pinned by a rockslide and Haggard tries to escape in their ship but is blown up by Gudis. Suddenly a giant warrior, Ultraman Great, arrives and fights Goudes, but when Ultraman is on the verge of victory Goudes changes into a virus and travels to Earth where it mutates other creatures into monsters and awakens existing ones. Needing a human host to survive on Earth, Ultraman joins with Jack, allowing him to become the mighty alien when all seems lost. He joins UMA in order to help them battle the monsters.",0.934,8.0,5,https://image.tmdb.org/t/p/w500/kQ4Tn2ScxL9atf2yEOToBIYZX8i.jpg,https://image.tmdb.org/t/p/w780/1PXvJf3L0UK59xiW3OIa8QL7g5p.jpg
237401,Mysterious Nile Girl Thutmose,1991-01-06,The twelfth entry in the Toei Fushigi Comedy Series.,0.8601,6.0,1,https://image.tmdb.org/t/p/w500/yGrDOYh6WfYY0Og9lnbfiQ6Wd4K.jpg,
3704,Super Rescue Solbrain,1991-01-20,"After the Winspector police team leaves Japan to fight crime in France, Chief Shunsuke Masaki realizes he must create a new police team to defend Tokyo from crime. He creates Solbrain – a high-tech special rescue force, expert in missions requiring rescue and firepower. Its leader is Daiki Nishio, a rookie detective who can use the Plus Up command in his car to transform into SolBraver. Other members are Reiko Higuchi, also able to use the Plus Up command to transform into SolJeanne, SolBraver's female counterpart; and SolDozer, a yellow bulldozer robot.",2.4828,8.5,4,https://image.tmdb.org/t/p/w500/yjOR1YhVFLqPBjRhLECINppKNaE.jpg,https://image.tmdb.org/t/p/w780/i3whgy6V1Eo0BfSItrsm5TLszSU.jpg
237402,Sing! Great Dragon Palace,1992-01-05,The thirteenth entry in the Toei Fushigi Comedy Series.,0.8141,6.0,1,https://image.tmdb.org/t/p/w500/dSO3QoQhDsSMidv7uYLiQUlbFzJ.jpg,
6605,Special Rescue Exceedraft,1992-02-02,"Special Rescue Exceedraft is the last part of the Rescue Heroes Trilogy in Toei Company's Metal Hero Series of superhero TV series. It was aired in Japan from February 2, 1992 to January 24, 1993. The series was initially conceived as taking place in a new continuity, leading to weaker ties to Solbrain and Winspector.",2.4723,8.8,5,https://image.tmdb.org/t/p/w500/7ASMflM9O3QZwAHr2ZdyeKWwjVf.jpg,https://image.tmdb.org/t/p/w780/cwT5CSV4d3ogSYyzLuwBvZ1xgUb.jpg
12114,Super Sentai Zyuranger,1992-02-21,"Five young warriors from the ancient civilization of Dinosaur-evolved Humans are awakened in the present day after 170 million years of suspended animation when their sworn enemy, Bandora the Witch, is inadvertently released from her magical container on Planet Nemesis by two astronauts.  The five warriors, the Zyurangers, must summon the power of mechanical-looking deities known as the Guardian Beasts, each modeled after a different prehistoric beast, in order to protect mankind from Bandora's evil forces.",3.5709,8.0,14,https://image.tmdb.org/t/p/w500/eipXPO8a6qxczRxrgjv7McVJ5Kq.jpg,https://image.tmdb.org/t/p/w780/6bQJ64IpmrXxBQJ5f7jJL0pHh0D.jpg
237400,Keeping-Words Sisters Chouchoutrian,1993-01-10,The fourteenth entry in the Toei Fushigi Comedy Series.,1.0487,6.0,1,https://image.tmdb.org/t/p/w500/bGIzHeEU5T2grmmbu0TirPFZrYi.jpg,
1303,Special Investigation Robo Janperson,1993-01-31,"Special Investigation Robo Janperson was the 1993 installment in Toei Company’s Metal Hero Series. The series revolved around Janperson, a robotic detective who patrolled the streets of Tokyo and fought against three different underworld organizations who used super technology to subjugate the masses. Unlike most Metal Heroes, a monster-of-the-week was rarely shown and most of the villains are criminals akin to television police dramas. The name given to this series by Toei for international distribution is Jumperson.",2.0778,7.8,41,https://image.tmdb.org/t/p/w500/8SpoCyMwwtgn3vjAKpdX2YZNQ8v.jpg,https://image.tmdb.org/t/p/w780/jwI0S3ASw66c2aBIV5prD6Jqa8X.jpg
